period_end,fiscal_year,fiscal_period,COGS,NetIncome,OperatingExpenses,OperatingLoss,Revenue,CashAndEquivalents,CurrentAssets,CurrentLiabilities,StockholdersEquity,TotalAssets,TotalLiabilities,CapEx,FinancingCashFlow,InvestingCashFlow,OperatingCashFlow,is_imputed,yoy_outlier_flag,balance_sheet_check_pass,net_income_vs_ocf_flag,TotalDebt,gross_margin_pct,operating_loss_margin_pct,revenue_growth_yoy_pct,free_cash_flow,current_ratio,debt_to_equity_ratio,quarterly_cash_burn,avg_monthly_burn,runway_months,runway_risk_lt_12m
2018-01-31,2021,FY,,,,,,,,,-131.892,,,,,,,False,False,False,False,,,,,,,,0.0,0.0,inf,False
2019-01-31,2021,FY,51.753,-178.028,230.378,-185.465,96.666,116.541,,,-312.467,,,2.058,413.601,-362.642,-143.982,False,False,False,False,,46.46204456582459,-191.86166801150353,,-146.04,,,143.982,47.994,2.428241030128766,True
2019-01-31,2021,Q3,51.753,-178.028,230.378,-185.465,96.666,116.541,,,-312.467,,,2.058,413.601,-362.642,-143.982,True,False,False,False,,46.46204456582459,-191.86166801150353,,-146.04,,,143.982,47.994,2.428241030128766,True
2019-01-31,2022,FY,51.753,-178.028,230.378,-185.465,96.666,116.541,,,-312.467,,,2.058,413.601,-362.642,-143.982,True,False,False,False,,46.46204456582459,-191.86166801150353,,-146.04,,,143.982,47.994,2.428241030128766,True
2019-07-31,2021,Q3,51.753,-178.028,230.378,-185.465,96.666,116.541,,,-445.984,,,2.058,413.601,-362.642,-143.982,True,False,False,False,,46.46204456582459,-191.86166801150353,,-146.04,,,143.982,47.994,2.428241030128766,True
2019-10-31,2021,Q3,29.489,-88.057,133.655,-90.132,73.012,179.138,,,-489.438,,,14.504,50.811,154.145,-133.766,False,False,False,True,,59.61074891798608,-123.4482002958418,-24.4698239298202,-148.26999999999998,,,133.766,44.58866666666666,4.017567991866394,True
2020-01-31,2021,FY,116.557,-348.535,506.279,-358.088,264.748,127.206,665.194,416.455,-544.757,1012.72,621.003,18.583,57.469,138.495,-176.558,False,False,False,False,,55.97436052396995,-135.25616812969318,262.60888621048593,-195.141,1.597277016724496,,176.558,58.852666666666664,2.1614313709942343,True
2020-01-31,2021,Q3,116.557,-348.535,506.279,-358.088,264.748,127.206,665.194,416.455,-544.757,1012.72,621.003,18.583,57.469,138.495,-176.558,True,False,False,False,,55.97436052396995,-135.25616812969318,262.60888621048593,-195.141,1.597277016724496,,176.558,58.852666666666664,2.1614313709942343,True
2020-01-31,2022,FY,116.557,-348.535,506.279,-358.088,264.748,127.206,,,-544.757,,,18.583,57.469,138.495,-176.558,False,False,False,False,,55.97436052396995,-135.25616812969318,262.60888621048593,-195.141,,,176.558,58.852666666666664,2.1614313709942343,True
2020-01-31,2022,Q1,29.489,-88.057,133.655,-90.132,73.012,179.138,,,-544.757,,,14.504,50.811,154.145,-133.766,True,False,False,True,,59.61074891798608,-123.4482002958418,-24.4698239298202,-148.26999999999998,,,133.766,44.58866666666666,4.017567991866394,True
2020-01-31,2022,Q2,29.489,-88.057,133.655,-90.132,73.012,179.138,,,-544.757,,,14.504,50.811,154.145,-133.766,True,False,False,True,,59.61074891798608,-123.4482002958418,-24.4698239298202,-148.26999999999998,,,133.766,44.58866666666666,4.017567991866394,True
2020-01-31,2022,Q3,29.489,-88.057,133.655,-90.132,73.012,179.138,,,-544.757,,,14.504,50.811,154.145,-133.766,True,False,False,True,,59.61074891798608,-123.4482002958418,-24.4698239298202,-148.26999999999998,,,133.766,44.58866666666666,4.017567991866394,True
2020-04-30,2022,Q1,42.557,-93.644,162.661,-96.403,108.815,437.56,665.194,416.455,-604.046,1012.72,621.003,2.033,489.469,-172.004,-6.592,True,False,False,True,,60.890502228553046,-88.59348435417913,49.037144578973326,-8.625,1.597277016724496,,6.592,2.1973333333333334,199.13228155339806,False
2020-04-30,2022,Q2,42.557,-93.644,162.661,-96.403,108.815,437.56,665.194,416.455,-604.046,1012.72,621.003,2.033,489.469,-172.004,-6.592,True,False,False,True,,60.890502228553046,-88.59348435417913,-58.89865079245169,-8.625,1.597277016724496,,6.592,2.1973333333333334,199.13228155339806,False
2020-07-31,2021,Q3,42.557,-93.644,162.661,-96.403,108.815,437.56,665.194,416.455,-651.399,1012.72,621.003,2.033,489.469,-172.004,-6.592,True,False,False,True,,60.890502228553046,-88.59348435417913,-58.89865079245169,-8.625,1.597277016724496,,6.592,2.1973333333333334,199.13228155339806,False
2020-07-31,2022,Q2,50.446,-77.634,160.382,-77.683,133.145,138.9,665.194,416.455,-651.399,1012.72,621.003,6.748,498.592,-441.403,-45.277,True,False,False,False,,62.11198317623644,-58.34466183484171,-49.708779669723654,-52.025,1.597277016724496,,45.277,15.092333333333334,9.203348278375334,True
2020-07-31,2022,Q3,50.446,-77.634,160.382,-77.683,133.145,138.9,665.194,416.455,-651.399,1012.72,621.003,6.748,498.592,-441.403,-45.277,True,True,False,False,,62.11198317623644,-58.34466183484171,22.35904976335985,-52.025,1.597277016724496,,45.277,15.092333333333334,9.203348278375334,True
2020-10-31,2021,Q3,66.681,-168.889,262.397,-169.454,159.624,3939.925,4986.771,547.659,4967.815,5712.889,745.074,24.018,4753.012,-875.038,-65.031,False,True,True,True,,58.22620658547587,-106.15822182128,46.69301107384092,-89.049,9.105613164396091,,65.031,21.677000000000003,181.7560086727868,False
2020-10-31,2022,Q3,66.681,-168.889,262.397,-169.454,159.624,3939.925,665.194,416.455,4967.815,1012.72,621.003,24.018,4753.012,-875.038,-65.031,True,True,False,True,,58.22620658547587,-106.15822182128,46.69301107384092,-89.049,1.597277016724496,,65.031,21.677000000000003,181.7560086727868,False
2021-01-31,2021,FY,242.588,-539.102,893.398,-543.937,592.049,820.177,4300.652,789.264,4936.471,5921.739,985.268,35.037,4775.29,-4036.645,-45.417,False,True,True,True,,59.025688752113425,-91.8736455935235,344.66483908520786,-80.45400000000001,5.448939771736707,,45.417,15.139000000000001,54.176431732611135,False
2021-01-31,2022,FY,242.588,-539.102,893.398,-543.937,592.049,820.177,4300.652,789.264,4936.471,5921.739,985.268,35.037,4775.29,-4036.645,-45.417,False,True,True,True,,59.025688752113425,-91.8736455935235,344.66483908520786,-80.45400000000001,5.448939771736707,,45.417,15.139000000000001,54.176431732611135,False
2021-01-31,2022,Q1,242.588,-539.102,893.398,-543.937,592.049,820.177,4300.652,789.264,4936.471,5921.739,985.268,35.037,4775.29,-4036.645,-45.417,True,True,True,True,,59.025688752113425,-91.8736455935235,270.9022452763995,-80.45400000000001,5.448939771736707,,45.417,15.139000000000001,54.176431732611135,False
2021-01-31,2022,Q2,242.588,-539.102,893.398,-543.937,592.049,820.177,4300.652,789.264,4936.471,5921.739,985.268,35.037,4775.29,-4036.645,-45.417,True,True,True,True,,59.025688752113425,-91.8736455935235,270.9022452763995,-80.45400000000001,5.448939771736707,,45.417,15.139000000000001,54.176431732611135,False
2021-01-31,2022,Q3,242.588,-539.102,893.398,-543.937,592.049,820.177,4300.652,789.264,4936.471,5921.739,985.268,35.037,4775.29,-4036.645,-45.417,True,False,True,True,,59.025688752113425,-91.8736455935235,0.0,-80.45400000000001,5.448939771736707,,45.417,15.139000000000001,54.176431732611135,False
2021-01-31,2023,FY,242.588,-539.102,893.398,-543.937,592.049,820.177,4300.652,789.264,4936.471,5921.739,985.268,35.037,4775.29,-4036.645,-45.417,True,False,True,True,,59.025688752113425,-91.8736455935235,0.0,-80.45400000000001,5.448939771736707,,45.417,15.139000000000001,54.176431732611135,False
2021-01-31,2023,Q2,242.588,-539.102,893.398,-543.937,592.049,820.177,4300.652,789.264,4936.471,5921.739,985.268,35.037,4775.29,-4036.645,-45.417,True,False,True,True,,59.025688752113425,-91.8736455935235,0.0,-80.45400000000001,5.448939771736707,,45.417,15.139000000000001,54.176431732611135,False
2021-04-30,2022,Q1,97.346,-203.22,337.163,-205.595,228.914,644.674,4221.336,776.998,4958.321,5929.01,970.689,6.43,67.8,-264.069,21.854,False,False,True,True,,57.474859554243075,-89.8132049590676,-61.33529488268707,15.424,5.432878849109007,,0.0,0.0,inf,False
2021-04-30,2022,Q2,242.588,-539.102,893.398,-543.937,592.049,820.177,4300.652,789.264,4958.321,5921.739,985.268,35.037,4775.29,-4036.645,-45.417,True,False,False,True,,59.025688752113425,-91.8736455935235,0.0,-80.45400000000001,5.448939771736707,,45.417,15.139000000000001,54.176431732611135,False
2021-04-30,2023,FY,97.346,-203.22,337.163,-205.595,228.914,644.674,4221.336,776.998,4958.321,5929.01,970.689,6.43,67.8,-264.069,21.854,True,False,True,True,,57.474859554243075,-89.8132049590676,-61.33529488268707,15.424,5.432878849109007,,0.0,0.0,inf,False
2021-04-30,2023,Q2,242.588,-539.102,893.398,-543.937,592.049,820.177,4300.652,789.264,4958.321,5921.739,985.268,35.037,4775.29,-4036.645,-45.417,True,False,False,True,,59.025688752113425,-91.8736455935235,0.0,-80.45400000000001,5.448939771736707,,45.417,15.139000000000001,54.176431732611135,False
2021-07-31,2022,Q2,106.121,-189.719,366.218,-200.141,272.198,698.548,4508.102,875.738,4964.965,6032.416,1067.451,9.927,92.263,-228.031,15.743,False,False,True,True,,61.013306490128514,-73.52772614053006,18.908411018985284,5.816000000000001,5.147774791090486,,0.0,0.0,inf,False
2021-07-31,2022,Q3,106.121,-189.719,366.218,-200.141,272.198,698.548,4508.102,875.738,4964.965,6032.416,1067.451,9.927,92.263,-228.031,15.743,True,False,True,True,,61.013306490128514,-73.52772614053006,18.908411018985284,5.816000000000001,5.147774791090486,,0.0,0.0,inf,False
2021-07-31,2023,Q2,106.121,-189.719,366.218,-200.141,272.198,698.548,4508.102,875.738,4964.965,6032.416,1067.451,9.927,92.263,-228.031,15.743,True,False,True,True,,61.013306490128514,-73.52772614053006,-54.02441351982691,5.816000000000001,5.147774791090486,,0.0,0.0,inf,False
2021-10-31,2022,Q3,120.786,-154.856,370.926,-157.271,334.441,935.217,4308.257,958.735,5006.682,6163.471,1156.789,12.209,142.671,-56.967,31.281,False,False,True,True,,63.8842127609952,-47.02503580601661,-43.51126342583132,19.072,4.493689079881301,,0.0,0.0,inf,False
2021-10-31,2023,Q3,120.786,-154.856,370.926,-157.271,334.441,935.217,4308.257,958.735,5006.682,6163.471,1156.789,12.209,142.671,-56.967,31.281,True,False,True,True,,63.8842127609952,-47.02503580601661,22.866810189641363,19.072,4.493689079881301,,0.0,0.0,inf,False
2022-01-31,2022,FY,458.433,-679.948,1475.93,-715.036,1219.327,1085.729,4598.643,1397.093,5049.045,6649.698,1600.653,16.221,178.198,-20.8,110.179,False,True,True,True,,62.40278448685217,-58.641857352457535,0.0,93.958,3.291579730196916,,0.0,0.0,inf,False
2022-01-31,2023,Q2,458.433,-679.948,1475.93,-715.036,1219.327,1085.729,4598.643,1397.093,5049.045,6649.698,1600.653,16.221,178.198,-20.8,110.179,True,True,True,True,,62.40278448685217,-58.641857352457535,264.5865787986521,93.958,3.291579730196916,,0.0,0.0,inf,False
2022-01-31,2023,Q3,458.433,-679.948,1475.93,-715.036,1219.327,1085.729,4598.643,1397.093,5049.045,6649.698,1600.653,16.221,178.198,-20.8,110.179,True,True,True,True,,62.40278448685217,-58.641857352457535,264.5865787986521,93.958,3.291579730196916,,0.0,0.0,inf,False
2022-01-31,2023,FY,458.433,-679.948,1475.93,-715.036,1219.327,1085.729,4598.643,1397.093,5049.045,6649.698,1600.653,16.221,178.198,-20.8,110.179,False,True,True,True,,62.40278448685217,-58.641857352457535,347.9558997494471,93.958,3.291579730196916,,0.0,0.0,inf,False
2022-01-31,2024,FY,458.433,-679.948,1475.93,-715.036,1219.327,1085.729,4308.257,958.735,5006.682,6163.471,1156.789,16.221,178.198,-20.8,110.179,True,False,True,True,,62.40278448685217,-58.641857352457535,347.9558997494471,93.958,4.493689079881301,,0.0,0.0,inf,False
2022-04-30,2023,FY,147.93,-165.794,463.207,-188.766,422.371,1063.401,4341.733,1363.718,5457.994,7022.699,1564.705,7.413,-11.846,-189.792,184.613,False,False,True,True,,64.97628861830003,-44.69198879657931,-65.36031761783346,177.2,3.183746933016943,,0.0,0.0,inf,False
2022-04-30,2023,Q2,147.93,-165.794,463.207,-188.766,422.371,1063.401,4341.733,1363.718,5457.994,7022.699,1564.705,7.413,-11.846,-189.792,184.613,True,False,True,True,,64.97628861830003,-44.69198879657931,-65.36031761783346,177.2,3.183746933016943,,0.0,0.0,inf,False
2022-04-30,2024,Q1,147.93,-165.794,463.207,-188.766,422.371,1063.401,4341.733,1363.718,5457.994,7022.699,1564.705,7.413,-11.846,-189.792,184.613,True,False,True,True,,64.97628861830003,-44.69198879657931,-65.36031761783346,177.2,3.183746933016943,,0.0,0.0,inf,False
2022-07-31,2023,Q2,173.232,-222.806,531.748,-207.732,497.248,906.663,4503.697,1401.436,5426.323,7064.115,1637.792,11.261,-34.219,-386.239,249.046,False,False,True,True,,65.16185082695154,-41.77633695862025,-59.21947106887653,237.785,3.2136301622050527,,0.0,0.0,inf,False
2022-07-31,2024,Q2,173.232,-222.806,531.748,-207.732,497.248,906.663,4503.697,1401.436,5426.323,7064.115,1637.792,11.261,-34.219,-386.239,249.046,True,False,True,True,,65.16185082695154,-41.77633695862025,17.72777960608092,237.785,3.2136301622050527,,0.0,0.0,inf,False
2022-10-31,2023,Q3,190.721,-200.936,572.326,-206.019,557.028,819.003,4558.904,1479.042,5410.777,7155.688,1732.417,19.766,-52.54,-533.101,328.323,False,False,False,True,,65.76096713271147,-36.9853939119757,31.88121343558152,308.55699999999996,3.0823357281267203,,0.0,0.0,inf,False
2022-10-31,2024,Q3,190.721,-200.936,572.326,-206.019,557.028,819.003,4558.904,1479.042,5410.777,7155.688,1732.417,19.766,-52.54,-533.101,328.323,True,False,False,True,,65.76096713271147,-36.9853939119757,31.88121343558152,308.55699999999996,3.0823357281267203,,0.0,0.0,inf,False
2023-01-31,2023,FY,717.54,-796.705,2190.386,-842.267,2065.659,939.902,4984.69,1993.517,5456.436,7722.322,2253.707,25.128,-92.624,-597.885,545.639,False,True,False,True,,65.26338567982421,-40.77473581070254,0.0,520.511,2.5004502093536196,,0.0,0.0,inf,False
2023-01-31,2024,FY,717.54,-796.705,2190.386,-842.267,2065.659,939.902,4984.69,1993.517,5456.436,7722.322,2253.707,25.128,-92.624,-597.885,545.639,False,True,False,True,,65.26338567982421,-40.77473581070254,0.0,520.511,2.5004502093536196,,0.0,0.0,inf,False
2023-01-31,2024,Q1,717.54,-796.705,2190.386,-842.267,2065.659,939.902,4984.69,1993.517,5456.436,7722.322,2253.707,25.128,-92.624,-597.885,545.639,True,True,False,True,,65.26338567982421,-40.77473581070254,270.835756909886,520.511,2.5004502093536196,,0.0,0.0,inf,False
2023-01-31,2024,Q2,717.54,-796.705,2190.386,-842.267,2065.659,939.902,4984.69,1993.517,5456.436,7722.322,2253.707,25.128,-92.624,-597.885,545.639,True,False,False,True,,65.26338567982421,-40.77473581070254,315.41826211467924,520.511,2.5004502093536196,,0.0,0.0,inf,False
2023-01-31,2024,Q3,717.54,-796.705,2190.386,-842.267,2065.659,939.902,4984.69,1993.517,5456.436,7722.322,2253.707,25.128,-92.624,-597.885,545.639,True,False,False,True,,65.26338567982421,-40.77473581070254,315.41826211467924,520.511,2.5004502093536196,,0.0,0.0,inf,False
2023-01-31,2025,FY,717.54,-796.705,2190.386,-842.267,2065.659,939.902,4558.904,1479.042,5410.777,7155.688,1732.417,25.128,-92.624,-597.885,545.639,True,True,False,True,,65.26338567982421,-40.77473581070254,270.835756909886,520.511,3.0823357281267203,,0.0,0.0,inf,False
2023-04-30,2024,Q1,209.414,-225.627,687.423,-273.238,623.599,653.014,4569.547,1887.541,5286.243,7446.774,2148.789,6.97,-223.658,-362.213,299.444,False,False,False,True,,66.4184836730014,-43.81629861497533,-69.81113533259847,292.474,2.4208994665546335,,0.0,0.0,inf,False
2023-04-30,2025,Q1,209.414,-225.627,687.423,-273.238,623.599,653.014,4569.547,1887.541,5286.243,7446.774,2148.789,6.97,-223.658,-362.213,299.444,True,False,False,True,,66.4184836730014,-43.81629861497533,-69.81113533259847,292.474,2.4208994665546335,,0.0,0.0,inf,False
2023-07-31,2024,Q2,218.392,-226.867,741.033,-285.407,674.018,755.192,4404.951,1913.312,5286.938,7509.816,2211.589,13.268,-305.82,-261.171,382.635,False,False,False,True,,67.59849143494684,-42.34412137361316,-67.37031620417504,369.367,2.302264868458464,,0.0,0.0,inf,False
2023-07-31,2025,Q2,218.392,-226.867,741.033,-285.407,674.018,755.192,4404.951,1913.312,5286.938,7509.816,2211.589,13.268,-305.82,-261.171,382.635,True,False,False,True,,67.59849143494684,-42.34412137361316,-67.37031620417504,369.367,2.302264868458464,,0.0,0.0,inf,False
2023-10-31,2024,Q3,228.948,-214.251,765.848,-260.623,734.173,982.182,4312.283,2032.672,4929.921,7264.379,2323.612,22.014,-765.472,309.689,503.542,False,False,False,True,,68.81552440637289,-35.498853812384816,17.731587125700955,481.528,2.1214849223091576,,0.0,0.0,inf,False
2023-10-31,2025,Q3,228.948,-214.251,765.848,-260.623,734.173,982.182,4404.951,1913.312,5286.938,7509.816,2211.589,22.014,-765.472,309.689,503.542,True,False,False,True,,68.81552440637289,-35.498853812384816,17.731587125700955,481.528,2.302264868458464,,0.0,0.0,inf,False
2024-01-31,2024,FY,898.558,-836.097,3002.704,-1094.773,2806.489,1762.749,5039.264,2731.23,5180.308,8223.383,3032.789,35.086,-854.103,832.258,848.122,False,True,False,True,,67.98284261937246,-39.00863320682888,316.3819067146575,813.036,1.8450529614862168,,0.0,0.0,inf,False
2024-01-31,2025,FY,898.558,-836.097,3002.704,-1094.773,2806.489,1762.749,5039.264,2731.23,5180.308,8223.383,3032.789,35.086,-854.103,832.258,848.122,False,True,False,True,,67.98284261937246,-39.00863320682888,316.3819067146575,813.036,1.8450529614862168,,0.0,0.0,inf,False
2024-01-31,2025,Q1,898.558,-836.097,3002.704,-1094.773,2806.489,1762.749,5039.264,2731.23,5180.308,8223.383,3032.789,35.086,-854.103,832.258,848.122,True,True,False,True,,67.98284261937246,-39.00863320682888,282.2653516269326,813.036,1.8450529614862168,,0.0,0.0,inf,False
2024-01-31,2025,Q2,898.558,-836.097,3002.704,-1094.773,2806.489,1762.749,5039.264,2731.23,5180.308,8223.383,3032.789,35.086,-854.103,832.258,848.122,True,True,False,True,,67.98284261937246,-39.00863320682888,282.2653516269326,813.036,1.8450529614862168,,0.0,0.0,inf,False
2024-01-31,2025,Q3,898.558,-836.097,3002.704,-1094.773,2806.489,1762.749,5039.264,2731.23,5180.308,8223.383,3032.789,35.086,-854.103,832.258,848.122,True,False,False,True,,67.98284261937246,-39.00863320682888,0.0,813.036,1.8450529614862168,,0.0,0.0,inf,False
2024-04-30,2025,Q1,272.517,-316.988,904.764,-348.572,828.709,1330.411,4143.29,2428.823,4558.234,7298.018,2730.326,16.519,-633.498,-151.178,355.468,False,False,False,True,,67.11547720611216,-42.06205073192158,-70.47168187724948,338.949,1.7058838787346793,,0.0,0.0,inf,False
2024-04-30,2026,Q1,272.517,-316.988,904.764,-348.572,828.709,1330.411,4143.29,2428.823,4558.234,7298.018,2730.326,16.519,-633.498,-151.178,355.468,True,False,False,True,,67.11547720611216,-42.06205073192158,-70.47168187724948,338.949,1.7058838787346793,,0.0,0.0,inf,False
2024-07-31,2025,Q2,288.078,-316.899,936.048,-355.303,868.823,1282.045,3898.088,2464.682,4129.001,6943.886,2806.298,21.562,-1124.044,232.9,425.333,False,False,False,True,,66.84272861100592,-40.89475071447234,-69.0423514932715,403.771,1.581578475438211,,0.0,0.0,inf,False
2024-07-31,2026,Q2,288.078,-316.899,936.048,-355.303,868.823,1282.045,3898.088,2464.682,4129.001,6943.886,2806.298,21.562,-1124.044,232.9,425.333,True,False,False,True,,66.84272861100592,-40.89475071447234,-69.0423514932715,403.771,1.581578475438211,,0.0,0.0,inf,False
2024-10-31,2025,Q3,320.894,-324.279,986.657,-365.457,942.094,2148.928,4984.071,2647.272,2929.445,8202.258,5267.849,35.002,-106.405,-34.242,527.039,False,False,False,True,,65.93821847926003,-38.79198890981154,13.682124847202104,492.037,1.8827196449779244,,0.0,0.0,inf,False
2024-10-31,2026,Q3,320.894,-324.279,986.657,-365.457,942.094,2148.928,4984.071,2647.272,2929.445,8202.258,5267.849,35.002,-106.405,-34.242,527.039,True,False,False,True,,65.93821847926003,-38.79198890981154,13.682124847202104,492.037,1.8827196449779244,,0.0,0.0,inf,False
2025-01-31,2025,FY,1214.673,-1285.64,3867.733,-1456.01,3626.396,2628.798,5869.372,3301.183,2999.929,9033.938,6027.295,46.279,-226.523,190.646,959.764,False,True,False,True,,66.50467847416553,-40.15033107250284,317.3918047749657,913.485,1.777960203963246,,0.0,0.0,inf,False
2025-01-31,2026,Q1,1214.673,-1285.64,3867.733,-1456.01,3626.396,2628.798,5869.372,3301.183,2999.929,9033.938,6027.295,46.279,-226.523,190.646,959.764,True,True,False,True,,66.50467847416553,-40.15033107250284,317.3918047749657,913.485,1.777960203963246,,0.0,0.0,inf,False
2025-01-31,2026,Q2,1214.673,-1285.64,3867.733,-1456.01,3626.396,2628.798,5869.372,3301.183,2999.929,9033.938,6027.295,46.279,-226.523,190.646,959.764,True,True,False,True,,66.50467847416553,-40.15033107250284,284.92931703205835,913.485,1.777960203963246,,0.0,0.0,inf,False
2025-01-31,2026,Q3,1214.673,-1285.64,3867.733,-1456.01,3626.396,2628.798,5869.372,3301.183,2999.929,9033.938,6027.295,46.279,-226.523,190.646,959.764,True,True,False,True,,66.50467847416553,-40.15033107250284,284.92931703205835,913.485,1.777960203963246,,0.0,0.0,inf,False
2025-04-30,2026,Q1,348.786,-430.092,1140.545,-447.257,1042.074,2243.083,4785.974,3030.544,2408.0,8157.407,5742.553,44.989,-564.057,-55.983,228.373,False,False,False,True,,66.52963225260395,-42.91988860675921,-71.26419729119489,183.384,1.579245838370933,,0.0,0.0,inf,False
2025-07-31,2026,Q2,371.815,-298.017,1113.43,-340.276,1144.969,1880.72,4596.127,3096.082,2372.648,8196.727,5817.138,61.654,-698.096,-355.235,303.269,False,False,False,True,,67.52619503235458,-29.719232573108968,-68.42680722127423,241.615,1.4844978266079518,,0.0,0.0,inf,False
2025-10-31,2026,Q3,390.873,-293.957,1151.509,-329.473,1212.909,1941.657,4623.495,3383.314,2132.933,8230.191,6097.258,85.559,-1060.082,-106.996,440.788,False,False,True,True,,67.77392203372223,-27.1638680230751,-66.55332181041453,355.22900000000004,1.3665580552085914,,0.0,0.0,inf,False
